id,Phase ID,Plant phase,Phase operating status,project,project_other,parent,owner,ownership,province,country,region,status,steel_capacity,iron_capacity,process,equipment,url,lat,lng
P100000120546,S100000130809,Main plant,operating,Tata Metaliks West Bengal steel plant,,unknown,Tata Metaliks Ltd,unknown,West Bengal,India,Asia Pacific,operating,255.0,600.0,integrated_BF,BF,https://www.gem.wiki/Tata_Metaliks_West_Bengal_steel_plant,22.385611,87.287179
P100000120910,S100000131258,Main plant,operating,Donetsk Metallurgical Plant,Донецкий металлургический завод (ДМЗ) ,unknown,OOO DMZ,unknown,Donetsk,Ukraine,Europe,operating,N/A,800.0,integrated_BF,BF,https://www.gem.wiki/Donetsk_Metallurgical_Plant,47.982276,37.810634
P100000120910,S100000131258,Main plant,operating,Donetsk Metallurgical Plant,Донецкий металлургический завод (ДМЗ) ,unknown,OOO DMZ,unknown,Donetsk,Ukraine,Europe,mothballed,N/A,700.0,integrated_BF,BF,https://www.gem.wiki/Donetsk_Metallurgical_Plant,47.982276,37.810634
P100000120162,S100000131514,Expansion,construction,Shagang Group Anyang Yongxing Special Steel Co Ltd,沙钢集团安阳永兴特钢有限公司,Hengde International [27.4%]; Jiangsu Shagang Group Co Ltd [21.3%]; Zhangjiagang Free Trade Zone Rongrun Trade Co Ltd [16.8%]; other [12.4%]; Zhangjiagang Free Trade Zone Qianxing Investment Trade Co Ltd [10.5%]; Zhangjiagang Free Trade Zone Runyuan Stainless Steel Trade Co Ltd [6.4%]; Ningbo Meishan Free Trade Port Jincheng Shazhou Equity Investment Co Ltd [5.2%],"Shagang Group Anyang Yongxing Special Steel Co., Ltd.",N/A,Henan,China,Asia Pacific,construction,>0,1264.0,integrated_BF,BF,https://www.gem.wiki/Shagang_Group_Anyang_Yongxing_Special_Steel_Co_Ltd,36.143573,114.149964
P100000120140,S100000131618,Closure,retired,Tangshan Xinglong Iron and Steel Co Ltd,唐山兴隆钢铁有限公司,Tangshan Xinglong Steel Co Ltd [100%],"Tangshan Xinglong Iron and Steel Co., Ltd.",N/A,Hebei,China,Asia Pacific,retired,N/A,1660.0,integrated_BF,BF,https://www.gem.wiki/Tangshan_Xinglong_Iron_and_Steel_Co_Ltd,39.847612,118.348448
P100000120905,S100000131729,Closure,retired,Alchevsk Metallurgical Plant,Алчевский металлургический комбинат (Russian),ISD Corp,Alchevsk Metallurgical Plant Branch №1,N/A,Luhansk,Ukraine,Europe,retired,N/A,920.0,integrated_BF,BF,https://www.gem.wiki/Alchevsk_Metallurgical_Plant,48.478111,38.770787
P100000120710,S100000131690,Closure,retired,QIC Qarmet steel plant,АрселорМиттал Темиртау (Russian),NUH Baiterek JSC [100.0%],Qazaqstan Investment Corporation AO,Full,Karaganda,Kazakhstan,Eurasia,retired,N/A,1100.0,integrated_BF,BF,https://www.gem.wiki/QIC_Qarmet_steel_plant,50.031766,72.994863
P100000120054,S100000130065,Main plant,operating,Viena Açailândia iron works,Usina siderúrgica Viena Açailândia (Portuguese),Grupo Viena [100.0%],Andrade Valladares Engenharia e Construcao Ltda,N/A,Maranhão,Brazil,Central & South America,operating,N/A,500.0,ironmaking_BF,BF,https://www.gem.wiki/Viena_Açailândia_iron_works,-4.887877,-47.392157
P100000120075,S100000130093,Expansion,operating,Sichuan Desheng Group Vanadium and Titanium Co Ltd,四川德胜集团钒钛有限公司1250m3高炉,Haojun Development Group Co Ltd [49.0%]; persons [26.8%]; Yunnan Desheng Steel Co Ltd [14.0%]; Yunnan Desheng Logistics Co Ltd [10.2%],Sichuan Desheng Group Vanadium Titanium Co Ltd,N/A,Chongqing,China,Asia Pacific,operating,N/A,1100.0,ironmaking_BF,BF,https://www.gem.wiki/Sichuan_Desheng_Group_Vanadium_and_Titanium_Co_Ltd,29.39798,103.542532
P100000120076,S100000130095,Expansion,operating,Sansteel Minguang Co Ltd Fujian plant,福建三钢闽光股份有限公司(1950m3高炉),Fujian Metallurgical Holding Co Ltd [53.4%]; other [46.6%],Sansteel Minguang Co Ltd Fujian,Partial,Fujian,China,Asia Pacific,operating,N/A,1659.0,ironmaking_BF,BF,https://www.gem.wiki/Sansteel_Minguang_Co_Ltd_Fujian_plant,26.261109,117.614709
